Id,Prediction
1,6
2,7
3,4
4,7
5,9
6,0
7,9
8,0
9,4
10,5
11,1
12,4
13,5
14,4
15,2
16,5
17,8
18,9
19,4
20,4
21,8
22,8
23,4
24,5
25,9
26,5
27,4
28,9
29,6
30,6
31,3
32,2
33,0
34,5
35,5
36,7
37,9
38,1
39,2
40,9
41,8
42,1
43,8
44,4
45,6
46,4
47,8
48,5
49,8
50,4
51,3
52,8
53,4
54,6
55,6
56,9
57,8
58,6
59,9
60,7
61,6
62,5
63,1
64,4
65,5
66,9
67,8
68,1
69,6
70,5
71,6
72,6
73,1
74,8
75,2
76,1
77,4
78,6
79,8
80,6
81,6
82,8
83,0
84,4
85,6
86,1
87,1
88,2
89,4
90,0
91,8
92,1
93,2
94,1
95,8
96,2
97,9
98,1
99,1
100,6
101,6
102,6
103,0
104,6
105,5
106,1
107,8
108,6
109,2
110,7
111,0
112,5
113,4
114,5
115,5
116,2
117,1
118,6
119,4
120,5
121,2
122,9
123,9
124,4
125,6
126,4
127,6
128,0
129,1
130,6
131,6
132,6
133,8
134,7
135,6
136,5
137,0
138,8
139,0
140,6
141,4
142,4
143,4
144,6
145,6
146,3
147,9
148,4
149,7
150,8
151,4
152,7
153,3
154,8
155,4
156,1
157,6
158,4
159,6
160,8
161,8
162,4
163,2
164,6
165,6
166,6
167,2
168,2
169,8
170,4
171,3
172,6
173,9
174,1
175,4
176,7
177,9
178,9
179,8
180,7
181,9
182,6
183,6
184,6
185,6
186,1
187,6
188,9
189,5
190,0
191,0
192,8
193,4
194,9
195,4
196,4
197,4
198,1
199,2
200,4
201,8
202,6
203,8
204,7
205,4
206,5
207,0
208,2
209,3
210,0
211,1
212,6
213,8
214,8
215,1
216,8
217,8
218,6
219,7
220,1
221,6
222,9
223,1
224,4
225,8
226,0
227,6
228,4
229,7
230,4
231,6
232,6
233,3
234,5
235,6
236,6
237,4
238,2
239,6
240,6
241,8
242,9
243,8
244,9
245,6
246,1
247,8
248,8
249,7
250,4
251,9
252,7
253,8
254,6
255,2
256,4
257,1
258,4
259,8
260,6
261,0
262,8
263,4
264,9
265,0
266,2
267,5
268,1
269,4
270,0
271,2
272,9
273,0
274,5
275,2
276,0
277,6
278,2
279,0
280,1
281,6
282,6
283,9
284,4
285,8
286,6
287,4
288,5
289,6
290,8
291,1
292,8
293,4
294,1
295,6
296,6
297,4
298,6
299,1
300,7
301,1
302,7
303,7
304,6
305,6
306,8
307,6
308,8
309,1
310,6
311,0
312,3
313,6
314,6
315,0
316,0
317,8
318,4
319,8
320,6
321,9
322,0
323,4
324,9
325,6
326,8
327,0
328,0
329,8
330,8
331,4
332,9
333,1
334,6
335,6
336,8
337,4
338,4
339,7
340,8
341,1
342,4
343,7
344,4
345,9
346,5
347,6
348,7
349,1
350,4
351,6
352,4
353,1
354,6
355,6
356,7
357,5
358,9
359,9
360,9
361,6
362,9
363,5
364,1
365,4
366,4
367,1
368,6
369,2
370,8
371,2
372,3
373,6
374,4
375,8
376,6
377,8
378,6
379,9
380,6
381,4
382,4
383,6
384,4
385,2
386,9
387,1
388,4
389,7
390,8
391,0
392,4
393,8
394,6
395,6
396,6
397,5
398,4
399,9
400,1
401,8
402,2
403,7
404,1
405,4
406,8
407,4
408,6
409,6
410,6
411,8
412,5
413,1
414,8
415,6
416,4
417,4
418,8
419,9
420,9
421,8
422,0
423,7
424,6
425,1
426,6
427,4
428,7
429,6
430,6
431,5
432,8
433,8
434,1
435,0
436,8
437,6
438,1
439,6
440,4
441,2
442,6
443,8
444,4
445,4
446,9
447,6
448,7
449,4
450,4
451,6
452,6
453,6
454,8
455,6
456,6
457,1
458,6
459,2
460,7
461,0
462,9
463,4
464,4
465,4
466,8
467,0
468,5
469,8
470,2
471,9
472,0
473,4
474,7
475,9
